Despesas

Número do Empenho  ;Unidade Gestora  ;Credor do Empenho  ;Valor Empenhado  ;Valor Liquidado  ;Valor Total (Pago + RP Pago)  ;Detalhes Pagamentos ;Detalhes do Item de Material ;Data de Lançamento  ;Função  ;Subfunção  ;Programa  ;Ação  ;Subação  ;Modalidade do Empenho ;Modalidade de Licitação  ;Número do Processo Licitatório  ;Observação do Empenho  ;Tipo de Despesa  ;Despesa Gerencial  ;Fonte de Recurso  ;Categoria Econômica  ;Grupo de Despesa  ;Modalidade de Aplicação  ;Elemento da Despesa  ;Itens de Gastos na Liquidação  
"2010NE000099";"ASSEMBLEIA LEGISLATIVA";"10835932000108 - COMPANHIA ENERGETICA DE PERNAMBUCO";"0";"0";"69846.09";"";"";"2010-01-04";"01 - LEGISLATIVA";"122 - ADMINISTRAÇÃO GERAL";"0096 - APOIO ADMINISTRATIVO ÀS AÇÕES DA ALEPE";"0671 - GESTÃO ADMINISTRATIVA DAS AÇÕES DA ALEPE";"0000 - ND";"ESTIMATIVO";"INEXIGIBILIDADE";"NAO CADASTRADO";"";"NORMAL";"1747 - OUTRAS DESPESAS CORRENTES - OUTRAS DESPESAS CORRENTES";"0101  -  RECURSOS ORDINÁRIOS - ADM. DIRETA";"3 - DESPESAS CORRENTES";"3 - OUTRAS DESPESAS CORRENTES";"90 - APLICAÇÕES DIRETA";"39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"";
"2010NE000393";"ASSEMBLEIA LEGISLATIVA";"00079602000186 - CONDOMINIO DO EDF. CAETE";"0";"0";"1886.81";"";"";"2010-01-04";"01 - LEGISLATIVA";"122 - ADMINISTRAÇÃO GERAL";"0096 - APOIO ADMINISTRATIVO ÀS AÇÕES DA ALEPE";"0671 - GESTÃO ADMINISTRATIVA DAS AÇÕES DA ALEPE";"0000 - ND";"ESTIMATIVO";"INEXIGIBILIDADE";"NAO CADASTRADO";"";"NORMAL";"1747 - OUTRAS DESPESAS CORRENTES - OUTRAS DESPESAS CORRENTES";"0101  -  RECURSOS ORDINÁRIOS - ADM. DIRETA";"3 - DESPESAS CORRENTES";"3 - OUTRAS DESPESAS CORRENTES";"90 - APLICAÇÕES DIRETA";"39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"";
"2010NE000406";"ASSEMBLEIA LEGISLATIVA";"29979036019321 - INSTITUTO NACIONAL DE SEGURO SOCIAL - INSS";"0";"0";"1301768.69";"";"";"2010-01-04";"01 - LEGISLATIVA";"122 - ADMINISTRAÇÃO GERAL";"0096 - APOIO ADMINISTRATIVO ÀS AÇÕES DA ALEPE";"0671 - GESTÃO ADMINISTRATIVA DAS AÇÕES DA ALEPE";"0000 - ND";"ESTIMATIVO";"NÃO SE APLICA";"NAO CADASTRADO";"";"NORMAL";"1759 - PESSOAL E ENCARGOS SOCIAIS - PESSOAL E ENCARGOS SOCIAIS";"0101  -  RECURSOS ORDINÁRIOS - ADM. DIRETA";"3 - DESPESAS CORRENTES";"1 - PESSOAL E ENCARGOS SOCIAIS";"90 - APLICAÇÕES DIRETA";"13 - OBRIGAÇÕES PATRONAIS";"";
"2010NE000414";"ASSEMBLEIA LEGISLATIVA";"29979036019321 - INSTITUTO NACIONAL DE SEGURO SOCIAL - INSS";"0";"0";"134855.44";"";"";"2010-01-04";"01 - LEGISLATIVA";"031 - AÇÃO LEGISLATIVA";"0095 - ATUAÇÃO PARLAMENTAR";"0673 - ASSESSORAMENTO ÀS ATIVIDADES LEGISLATIVAS";"0000 - ND";"ESTIMATIVO";"NÃO SE APLICA";"NAO CADASTRADO";"";"NORMAL";"1759 - PESSOAL E ENCARGOS SOCIAIS - PESSOAL E ENCARGOS SOCIAIS";"0101  -  RECURSOS ORDINÁRIOS - ADM. DIRETA";"3 - DESPESAS CORRENTES";"1 - PESSOAL E ENCARGOS SOCIAIS";"90 - APLICAÇÕES DIRETA";"13 - OBRIGAÇÕES PATRONAIS";"";
"2010NE000422";"ASSEMBLEIA LEGISLATIVA";"00627992000181 - UNIAO NACIONAL DOS LEGISLADORES E LEGISLATIVOS ESTADUAIS";"0";"0";"9102.24";"";"";"2010-01-04";"01 - LEGISLATIVA";"031 - AÇÃO LEGISLATIVA";"0095 - ATUAÇÃO PARLAMENTAR";"0673 - ASSESSORAMENTO ÀS ATIVIDADES LEGISLATIVAS";"0000 - ND";"ESTIMATIVO";"INEXIGIBILIDADE";"NAO CADASTRADO";"";"NORMAL";"1747 - OUTRAS DESPESAS CORRENTES - OUTRAS DESPESAS CORRENTES";"0101  -  RECURSOS ORDINÁRIOS - ADM. DIRETA";"3 - DESPESAS CORRENTES";"3 - OUTRAS DESPESAS CORRENTES";"90 - APLICAÇÕES DIRETA";"39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"";
"2010NE000432";"ASSEMBLEIA LEGISLATIVA";"03809957000171 - FUNDO FINANCEIRO DE APOSENTADORIAS E PENSOES DOS SERVIDORES DO ESTADO DE PERNAMBUCO";"0";"0";"80198.96";"";"";"2010-01-04";"28 - ENCARGOS ESPECIAIS";"846 - OUTROS ENCARGOS ESPECIAIS";"0096 - APOIO ADMINISTRATIVO ÀS AÇÕES DA ALEPE";"1116 - CONTRIBUIÇÃO COMPLEMENTAR DA ALEPE AO FUNAFIN";"0000 - ND";"ESTIMATIVO";"NÃO SE APLICA";"NAO CADASTRADO";"";"NORMAL";"1759 - PESSOAL E ENCARGOS SOCIAIS - PESSOAL E ENCARGOS SOCIAIS";"0101  -  RECURSOS ORDINÁRIOS - ADM. DIRETA";"3 - DESPESAS CORRENTES";"1 - PESSOAL E ENCARGOS SOCIAIS";"91 - APLICAÇÃO DIRETA DECORR.DE OPERAÇÃO ENTRE ÓRGÃOS, FUNDOS E ENTIDADES INTEG. DOS ORÇAM. FISCAL E DA S";"92 - DESPESAS DE EXERCÍCIOS ANTERIORES";"";
"2010NE000565";"ASSEMBLEIA LEGISLATIVA";"33000118001493 - TELEMAR NORTE LESTE S/A - EM RECUPERACAO JUDICIAL";"0";"0";"6299.83";"";"";"2010-01-04";"01 - LEGISLATIVA";"131 - COMUNICAÇÃO SOCIAL";"0096 - APOIO ADMINISTRATIVO ÀS AÇÕES DA ALEPE";"0680 - MODERNIZAÇÃO DO PARQUE DE TELECOMUNICAÇÕES DA ALEPE";"0000 - ND";"ESTIMATIVO";"INEXIGIBILIDADE";"NAO CADASTRADO";"";"NORMAL";"1747 - OUTRAS DESPESAS CORRENTES - OUTRAS DESPESAS CORRENTES";"0101  -  RECURSOS ORDINÁRIOS - ADM. DIRETA";"3 - DESPESAS CORRENTES";"3 - OUTRAS DESPESAS CORRENTES";"90 - APLICAÇÕES DIRETA";"39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"";
"2010NE000882";"ASSEMBLEIA LEGISLATIVA";"33000118001493 - TELEMAR NORTE LESTE S/A - EM RECUPERACAO JUDICIAL";"0";"0";"37545.97";"";"";"2010-01-04";"01 - LEGISLATIVA";"131 - COMUNICAÇÃO SOCIAL";"0096 - APOIO ADMINISTRATIVO ÀS AÇÕES DA ALEPE";"0680 - MODERNIZAÇÃO DO PARQUE DE TELECOMUNICAÇÕES DA ALEPE";"0000 - ND";"ESTIMATIVO";"CONCORRENCIA";"NAO CADASTRADO";"Concorrência n.º 060.2005.VIII.CC.015.SARE";"NORMAL";"1747 - OUTRAS DESPESAS CORRENTES - OUTRAS DESPESAS CORRENTES";"0101  -  RECURSOS ORDINÁRIOS - ADM. DIRETA";"3 - DESPESAS CORRENTES";"3 - OUTRAS DESPESAS CORRENTES";"90 - APLICAÇÕES DIRETA";"39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"";
"2010NE002271";"ASSEMBLEIA LEGISLATIVA";"42104919000175 - INSTITUTO SEMEAR";"0";"0";"9873.39";"";"";"2010-05-20";"01 - LEGISLATIVA";"122 - ADMINISTRAÇÃO GERAL";"0096 - APOIO ADMINISTRATIVO ÀS AÇÕES DA ALEPE";"0671 - GESTÃO ADMINISTRATIVA DAS AÇÕES DA ALEPE";"0000 - ND";"GLOBAL";"DISPENSA";"NAO CADASTRADO";"Valor Toal: R$ 118.480,68 Vigência: 12 meses Dispensa nº 005/2009 e Processo nº 022/2009";"NORMAL";"1747 - OUTRAS DESPESAS CORRENTES - OUTRAS DESPESAS CORRENTES";"0101  -  RECURSOS ORDINÁRIOS - ADM. DIRETA";"3 - DESPESAS CORRENTES";"3 - OUTRAS DESPESAS CORRENTES";"90 - APLICAÇÕES DIRETA";"39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"";
"2010NE002486";"ASSEMBLEIA LEGISLATIVA";"***.867.634-** - MINERVA EUGENIA CAUAS ASFORA";"0";"0";"2522.47";"";"";"2010-06-08";"01 - LEGISLATIVA";"122 - ADMINISTRAÇÃO GERAL";"0096 - APOIO ADMINISTRATIVO ÀS AÇÕES DA ALEPE";"0671 - GESTÃO ADMINISTRATIVA DAS AÇÕES DA ALEPE";"0000 - ND";"GLOBAL";"DISPENSA";"";"Ref. Contrato nº 036/2010 para locação do imóvel sito à Rua da União, 455, Casa 2, Boa Vista, Recife/PE (parte do Anexo V deste Poder).  Prazo: 08/06/2010 a 07/06/2011. Valor total: R$ 30.269,64";"NORMAL";"1747 - OUTRAS DESPESAS CORRENTES - OUTRAS DESPESAS CORRENTES";"0101  -  RECURSOS ORDINÁRIOS - ADM. DIRETA";"3 - DESPESAS CORRENTES";"3 - OUTRAS DESPESAS CORRENTES";"90 - APLICAÇÕES DIRETA";"36 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA";"";
